method,path,middlewares,handler,file
"GET","/menu","adminAuth|adminRole(""manager"")","menu","src\routes\managerDashboard.routes.ts"
"POST","/menu/availability","adminAuth|adminRole(""manager"")","setItemAvailability","src\routes\managerDashboard.routes.ts"
"GET","/orders","adminAuth|adminRole(""manager"")","orders","src\routes\managerDashboard.routes.ts"
"GET","/couriers","adminAuth|adminRole(""manager"")","couriers","src\routes\managerDashboard.routes.ts"
"GET","/terminals","adminAuth|adminRole(""manager"")","terminals","src\routes\managerDashboard.routes.ts"
"GET","/schedule","adminAuth|adminRole(""manager"")","getSchedule","src\routes\managerDashboard.routes.ts"
"POST","/schedule","adminAuth|adminRole(""manager"")","updateSchedule","src\routes\managerDashboard.routes.ts"
"PUT","/marketing-preferences","customerAuth","inline","src\routes\marketing.ts"
"GET","/loyalty","customerAuth","inline","src\routes\marketing.ts"
"GET","/","cacheMiddleware({ ttl: 30, keyPrefix: ""menu"" })","listMenu","src\routes\menu.routes.ts"
"POST","/category","adminAuth|adminRole(""manager"")","createCategory","src\routes\menu.routes.ts"
"PUT","/category/:id","adminAuth|adminRole(""manager"")","updateCategory","src\routes\menu.routes.ts"
"DELETE","/category/:id","adminAuth|adminRole(""manager"")","deleteCategory","src\routes\menu.routes.ts"
"POST","/item","adminAuth|adminRole(""manager"")","createItem","src\routes\menu.routes.ts"
"PUT","/item/:id","adminAuth|adminRole(""manager"")","updateItem","src\routes\menu.routes.ts"
"DELETE","/item/:id","adminAuth|adminRole(""manager"")","deleteItem","src\routes\menu.routes.ts"
"POST","/variant","adminAuth|adminRole(""manager"")","createVariant","src\routes\menu.routes.ts"
"PUT","/variant/:id","adminAuth|adminRole(""manager"")","updateVariant","src\routes\menu.routes.ts"
"DELETE","/variant/:id","adminAuth|adminRole(""manager"")","deleteVariant","src\routes\menu.routes.ts"
"PUT","/item/:id/availability","","setItemAvailability","src\routes\menu.routes.ts"
"PUT","/variant/:id/availability","","setVariantAvailability","src\routes\menu.routes.ts"
"GET","/","","inline","src\routes\menu.ts"
"POST","/","adminAuth|adminRole(""manager"")","createItem","src\routes\menuItems.routes.ts"
"PUT","/:id","adminAuth|adminRole(""manager"")","updateItem","src\routes\menuItems.routes.ts"
"DELETE","/:id","adminAuth|adminRole(""manager"")","deleteItem","src\routes\menuItems.routes.ts"
"GET","/optimize","adminAuth|adminRole(""manager"")","optimize","src\routes\menuOptimization.routes.ts"
"GET","/","","inline","src\routes\metrics.ts"
"POST","/ask","adminAuth|adminRole(""manager"")","ask","src\routes\nlae.routes.ts"
"GET","/history","adminAuth|adminRole(""manager"")","history","src\routes\nlae.routes.ts"
"PUT","/preferences","customerAuth","updatePreferences","src\routes\notifications.routes.ts"
"POST","/marketing/sms","adminAuth|adminRole(""manager"")","sendMarketingSMS","src\routes\notifications.routes.ts"
"POST","/validate","","inline","src\routes\offers.routes.ts"
"POST","/run","adminAuth|adminRole(""manager"")","run","src\routes\optimizationLoop.routes.ts"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\optimizationLoop.routes.ts"
"POST","/run","adminAuth|adminRole(""manager"")","runAll","src\routes\orchestration.routes.ts"
"POST","/trigger","adminAuth|adminRole(""manager"")","trigger","src\routes\orchestration.routes.ts"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\orchestration.routes.ts"
"POST","/create","customerAuth|validate(createOrderSchema)","createOrder","src\routes\order\order.routes.ts"
"PUT","/:orderId/status","adminAuth|validate(updateOrderStatusSchema)","updateStatus","src\routes\order\order.routes.ts"
"POST","/confirm-payment","customerAuth","confirmExternalPayment","src\routes\order\order.routes.ts"
"PUT","/:orderId/picked-up","adminAuth","courierPickup","src\routes\order\order.routes.ts"
"GET","/active","adminAuth","getActiveOrders","src\routes\order\order.routes.ts"
"GET","/:orderId","adminAuth","getOrder","src\routes\order\order.routes.ts"
"POST","/create","customerAuth","createOrder","src\routes\order\orderLifecycle.routes.ts"
"POST","/confirm-payment","customerAuth","confirmExternalPayment","src\routes\order\orderLifecycle.routes.ts"
"POST","/:id/preparing","","preparing","src\routes\order\orderLifecycle.routes.ts"
"POST","/:id/ready","","ready","src\routes\order\orderLifecycle.routes.ts"
"POST","/:id/completed","","completed","src\routes\order\orderLifecycle.routes.ts"
"POST","/:id/reject","","reject","src\routes\order\orderLifecycle.routes.ts"
"POST","/","","create","src\routes\orders.routes.ts"
"GET","/branch/:branchId","adminAuth|adminRole(""manager"")","listBranchOrders","src\routes\orders.routes.ts"
"PUT","/:id/status","adminAuth|adminRole(""manager"")","updateStatus","src\routes\orders.routes.ts"
"POST","/courier/claim","courierAuth","courierClaim","src\routes\orders.routes.ts"
"POST","/courier/picked-up","courierAuth","courierPickedUp","src\routes\orders.routes.ts"
"POST","/courier/delivered","courierAuth","courierDelivered","src\routes\orders.routes.ts"
"POST","/create","","inline","src\routes\orders.ts"
"GET","/customer/:id","customerAuth","inline","src\routes\orders.ts"
"POST","/calculate","customerAuth","inline","src\routes\payment.routes.ts"
"POST","/finalize","customerAuth","inline","src\routes\payment.routes.ts"
"POST","/stripe/create-intent","","createStripeIntent","src\routes\payments.routes.ts"
"POST","/paypal/create-order","","createPayPalOrder","src\routes\payments.routes.ts"
"POST","/paypal/capture","","capturePayPalOrder","src\routes\payments.routes.ts"
"POST","/refund/:id","adminAuth|adminRole(""manager"")","refund","src\routes\payments.routes.ts"
"POST","/","","paypalWebhookHandler","src\routes\paypal\paypalWebhook.routes.ts"
"POST","/order/:id","","printOrder","src\routes\print\print.routes.ts"
"GET","/order/:tracking_token","","inline","src\routes\public.routes.ts"
"GET","/","customerAuth","recommend","src\routes\recommendation.routes.ts"
"POST","/","customerAuth","submit","src\routes\review.routes.ts"
"PUT","/:reviewId","customerAuth","update","src\routes\review.routes.ts"
"DELETE","/:reviewId","customerAuth","delete","src\routes\review.routes.ts"
"POST","/item","customerAuth","rateItem","src\routes\review.routes.ts"
"GET","/branch","adminAuth|adminRole(""manager"")","branchReviews","src\routes\review.routes.ts"
"GET","/branch/rating","adminAuth|adminRole(""manager"")","branchRating","src\routes\review.routes.ts"
"GET","/menu","","menu","src\routes\search.routes.ts"
"GET","/branches","","branches","src\routes\search.routes.ts"
"GET","/categories","","categories","src\routes\search.routes.ts"
"GET","/analytics/top","adminAuth|adminRole(""manager"")","topSearches","src\routes\search.routes.ts"
"GET","/plan","adminAuth|adminRole(""manager"")","fullPlan","src\routes\staffingPrep.routes.ts"
"GET","/status","","inline","src\routes\sunmi.ts"
"POST","/print","","inline","src\routes\sunmi.ts"
"POST","/order-push","","inline","src\routes\sunmi.ts"
"POST","/order-status","","inline","src\routes\sunmi.ts"
"GET","/orders","","getTerminalOrders","src\routes\terminal\terminal.routes.ts"
"GET","/order/:id","","getTerminalOrderDetails","src\routes\terminal\terminal.routes.ts"
"POST","/activate","validate(activateTerminalSchema)","activate","src\routes\terminal.routes.ts"
"POST","/register","validate(registerTerminalSchema)","register","src\routes\terminal.routes.ts"
"POST","/login","validate(loginTerminalSchema)","login","src\routes\terminal.routes.ts"
"POST","/heartbeat","validateTerminalToken","heartbeat","src\routes\terminal.routes.ts"
"POST","/orders/:order_id/assign","validateTerminalToken|validate(assignOrderSchema)","assignOrder","src\routes\terminal.routes.ts"
"POST","/orders/:order_id/accept","validateTerminalToken|validate(acceptOrderSchema)","acceptOrder","src\routes\terminal.routes.ts"
"POST","/orders/:order_id/reject","validateTerminalToken|validate(rejectOrderSchema)","rejectOrder","src\routes\terminal.routes.ts"
"POST","/orders/:order_id/acknowledge","validateTerminalToken","acknowledgeOrder","src\routes\terminal.routes.ts"
"GET","/orders/stream","validateTerminalToken","ordersStream","src\routes\terminal.routes.ts"
"POST","/heartbeat","terminalAuth","inline","src\routes\terminal.routes.ts"
"POST","/error","terminalAuth","inline","src\routes\terminal.routes.ts"
"POST","/orders/:orderId/accept","terminalAuth","acceptOrder","src\routes\terminal.routes.ts"
"POST","/orders/:orderId/reject","terminalAuth","rejectOrder","src\routes\terminal.routes.ts"
"GET","/track/:token","","inline","src\routes\track.ts"
"GET","/track/order/:orderId","","inline","src\routes\track.ts"
"GET","/validate/:code","customerAuth","inline","src\routes\voucher.routes.ts"
"POST","/redeem","customerAuth","inline","src\routes\voucher.routes.ts"
"GET","/balance","customerAuth","inline","src\routes\wallet.routes.ts"
"GET","/transactions","customerAuth","inline","src\routes\wallet.routes.ts"
"POST","/add","customerAuth","inline","src\routes\wallet.routes.ts"
"POST","/deduct","customerAuth","inline","src\routes\wallet.routes.ts"
"POST","/stripe","express.raw({ type: ""application/json"" })","inline","src\routes\webhooks.routes.ts"
"POST","/paypal","","inline","src\routes\webhooks.routes.ts"
