method,path,middlewares,handler,file
"PUT","/items/:itemId/description","","updateDescription","src\api\branches\menu\menu.routes.js"
"PUT","/items/:itemId/image","","updateImage","src\api\branches\menu\menu.routes.js"
"POST","/items/:itemId/extras","","addExtra","src\api\branches\menu\menu.routes.js"
"PUT","/items/:itemId/extras/:extraId","","updateExtra","src\api\branches\menu\menu.routes.js"
"DELETE","/items/:itemId/extras/:extraId","","deleteExtra","src\api\branches\menu\menu.routes.js"
"POST","/items/:itemId/notes","","addNote","src\api\branches\menu\menu.routes.js"
"DELETE","/items/:itemId/notes/:noteId","","deleteNote","src\api\branches\menu\menu.routes.js"
"POST","/add","","addCartItem","src\api\cart\cart.routes.js"
"GET","/:orderId","","getCart","src\api\cart\cart.routes.js"
"DELETE","/:cartItemId","","removeCartItem","src\api\cart\cart.routes.js"
"POST","/validate","","validateCheckout","src\api\checkout\checkout.routes.js"
"GET","/","customerAuthMiddleware","getAddresses","src\api\customerAddresses\customerAddresses.routes.js"
"POST","/","customerAuthMiddleware","createAddress","src\api\customerAddresses\customerAddresses.routes.js"
"PATCH","/:addressId","customerAuthMiddleware","updateAddress","src\api\customerAddresses\customerAddresses.routes.js"
"DELETE","/:addressId","customerAuthMiddleware","deleteAddress","src\api\customerAddresses\customerAddresses.routes.js"
"POST","/request-otp","","requestOtp","src\api\customerAuth\customerAuth.routes.js"
"POST","/verify-otp","","verifyCustomerOtp","src\api\customerAuth\customerAuth.routes.js"
"POST","/refresh","","inline","src\api\customerAuth\refresh.routes.js"
"GET","/","customerAuthMiddleware","getCustomerOrders","src\api\customerOrders\customerOrders.routes.js"
"GET","/:orderId","customerAuthMiddleware","getCustomerOrder","src\api\customerOrders\customerOrders.routes.js"
"GET","/","customerAuthMiddleware","getCustomerProfile","src\api\customerProfile\customerProfile.routes.js"
"PATCH","/","customerAuthMiddleware","updateCustomerProfile","src\api\customerProfile\customerProfile.routes.js"
"POST","/select-branch","","selectBranch","src\api\delivery\branchSelection.routes.js"
"GET","/:branchId","","getDeliverySettings","src\api\deliverySettings\deliverySettings.routes.js"
"PATCH","/:branchId","","updateDeliverySettings","src\api\deliverySettings\deliverySettings.routes.js"
"POST","/:orderId","","triggerAutoDispatch","src\api\dispatch\autoDispatch.routes.js"
"GET","/order","","driverAccessOrder","src\api\driverAccess\driverAccess.routes.js"
"POST","/register","","driverRegister","src\api\driverAccess\driverAuth.routes.js"
"POST","/login","","driverLogin","src\api\driverAccess\driverAuth.routes.js"
"GET","/:driverId","","getAvailability","src\api\driverAccess\driverAvailability.routes.js"
"POST","/:driverId","","setAvailability","src\api\driverAccess\driverAvailability.routes.js"
"POST","/claim","","claimOrder","src\api\driverAccess\driverClaim.routes.js"
"POST","/status","","updateDriverStatus","src\api\driverAccess\driverClaim.routes.js"
"POST","/accept","","driverAccept","src\api\driverAccess\driverDispatch.routes.js"
"POST","/decline","","driverDecline","src\api\driverAccess\driverDispatch.routes.js"
"POST","/update-location","","updateDriverLocation","src\api\driverAccess\driverLocation.routes.js"
"GET","/assigned/:driverId","","getAssignedOrders","src\api\driverAccess\driverOrders.routes.js"
"POST","/update-status","","driverUpdateStatus","src\api\driverAccess\driverRealtime.routes.js"
"POST","/:orderId/assign","","assignDriver","src\api\driverAssignment\driverAssignment.routes.js"
"POST","/login","","driverLogin","src\api\driverAuth\driverAuth.routes.js"
"GET","/me","driverAuthMiddleware","driverMe","src\api\driverAuth\driverAuth.routes.js"
"POST","/update","","updateDriverLocation","src\api\driverLocation\driverLocation.routes.js"
"GET","/order/:orderId","driverAuthMiddleware","getOrderNavigation","src\api\driverNavigation\driverNavigation.routes.js"
"GET","/active","driverAuthMiddleware","getActiveOrders","src\api\driverOrders\driverOrders.routes.js"
"PATCH","/:orderId/status","driverAuthMiddleware","driverUpdateOrderStatus","src\api\driverOrders\driverOrders.routes.js"
"POST","/rate","","rateDriver","src\api\drivers\rating.routes.js"
"GET","/:orderId","","getOrderETA","src\api\eta\eta.routes.js"
"GET","/","","health","src\api\health\health.routes.ts"
"GET","/deep","","deepHealth","src\api\health\health.routes.ts"
"POST","/report","","reportIssue","src\api\issues\customerIssue.routes.js"
"GET","/queue/:branchId","","getKitchenQueue","src\api\kds\kds.routes.js"
"POST","/update-status","","updateKitchenStatus","src\api\kds\kds.routes.js"
"GET","/:userId","","getLoyaltyInfo","src\api\loyalty\customerLoyalty.routes.js"
"POST","/redeem","","redeem","src\api\loyalty\customerLoyalty.routes.js"
"GET","/dashboard/:branchId","","getBranchDashboard","src\api\manager\managerDashboard.routes.js"
"GET","/:branchId","","fetchCustomerMenu","src\api\menu\customerMenu.routes.js"
"GET","/","","getMenu","src\api\menu\menu.routes.js"
"POST","/","","createMenuItem","src\api\menu\menu.routes.js"
"PATCH","/:itemId","","updateMenuItem","src\api\menu\menu.routes.js"
"DELETE","/:itemId","","deleteMenuItem","src\api\menu\menu.routes.js"
"POST","/","","inline","src\api\order\order.routes.ts"
"POST","/register","","registerCustomerNotification","src\api\orders\customerNotification.routes.js"
"GET","/status/:orderId","","getCustomerOrderStatus","src\api\orders\customerTracking.routes.js"
"POST","/","validate(createOrderSchema)","createOrder","src\api\orders\order.routes.js"
"PATCH","/:orderId/status","","updateOrderStatus","src\api\orderStatus\orderStatus.routes.js"
"POST","/intent","","createPaymentIntent","src\api\payments\payment.routes.js"
"POST","/cod","","markCashOnDelivery","src\api\payments\payment.routes.js"
"POST","/webhook","","handleStripeWebhook","src\api\payments\payment.routes.js"
"POST","/apply","","applyPromoCode","src\api\promo\customerPromo.routes.js"
"POST","/subscribe","","saveSubscription","src\api\push\push.routes.js"
"GET","/slots/:branchId","","getAvailableSlots","src\api\scheduling\customerScheduling.routes.js"
"POST","/schedule","","scheduleOrder","src\api\scheduling\customerScheduling.routes.js"
"POST","/","","createStaff","src\api\staff\staff.routes.js"
"PATCH","/:staffId","","updateStaff","src\api\staff\staff.routes.js"
"POST","/","customerAuth","add","src\routes\address.routes.ts"
"PUT","/:id","customerAuth","update","src\routes\address.routes.ts"
"DELETE","/:id","customerAuth","delete","src\routes\address.routes.ts"
"GET","/","customerAuth","list","src\routes\address.routes.ts"
"POST","/voucher/create","adminAuth","createVoucher","src\routes\admin\admin.routes.ts"
"POST","/voucher/invalidate","adminAuth","invalidateVoucher","src\routes\admin\admin.routes.ts"
"GET","/voucher/list","adminAuth","listVouchers","src\routes\admin\admin.routes.ts"
"POST","/refund","adminAuth","adminRefundOrder","src\routes\admin\admin.routes.ts"
"POST","/assign","adminAuth","assignCourier","src\routes\admin\adminCourier.routes.ts"
"GET","/location/:orderId","adminAuth","getCourierLocation","src\routes\admin\adminCourier.routes.ts"
"GET","/timeline/:orderId","adminAuth","getOrderTimeline","src\routes\admin\adminCourier.routes.ts"
"PUT","/item/:itemId/kitchen","adminAuth","updateKitchenAssignment","src\routes\admin\adminKitchenAssignment.routes.ts"
"POST","/reprint/:orderId","adminAuth","reprintKitchenTickets","src\routes\admin\adminPrinter.routes.ts"
"GET","/analytics","adminAuth","getPrinterAnalyticsController","src\routes\admin\adminPrinterAnalytics.routes.ts"
"GET","/cloud","adminAuth","listCloudPrinters","src\routes\admin\adminPrinterCloud.routes.ts"
"GET","/fleet","adminAuth","listFleet","src\routes\admin\adminPrinterFleet.routes.ts"
"POST","/fleet/policy/:printerId","adminAuth","setPolicy","src\routes\admin\adminPrinterFleet.routes.ts"
"POST","/fleet/firmware/:printerId","adminAuth","setFirmware","src\routes\admin\adminPrinterFleet.routes.ts"
"POST","/fleet/command/:printerId/:command","adminAuth","sendCommand","src\routes\admin\adminPrinterFleet.routes.ts"
"GET","/observability/traces","adminAuth","getTraces","src\routes\admin\adminPrinterObservability.routes.ts"
"GET","/observability/health","adminAuth","getHealth","src\routes\admin\adminPrinterObservability.routes.ts"
"GET","/observability/anomalies","adminAuth","getAnomalies","src\routes\admin\adminPrinterObservability.routes.ts"
"GET","/queue","adminAuth","getPrinterQueue","src\routes\admin\adminPrinterQueue.routes.ts"
"GET","/security/pending","adminAuth","listUnapprovedPrinters","src\routes\admin\adminPrinterSecurity.routes.ts"
"POST","/security/approve/:id","adminAuth","approvePrinterController","src\routes\admin\adminPrinterSecurity.routes.ts"
"GET","/status","adminAuth","getPrinterStatus","src\routes\admin\adminPrinterStatus.routes.ts"
"POST","/test/:kitchen","adminAuth","runPrinterTest","src\routes\admin\adminPrinterTest.routes.ts"
"GET","/terminals","adminAuth","listTerminals","src\routes\admin\adminTerminal.routes.ts"
"GET","/terminals/errors","adminAuth","listTerminalErrors","src\routes\admin\adminTerminal.routes.ts"
"GET","/terminals","adminAuth","adminListTerminals","src\routes\admin\adminTools.routes.ts"
"POST","/terminals/:terminalId/reset-token","adminAuth","adminResetTerminalToken","src\routes\admin\adminTools.routes.ts"
"POST","/terminals/:terminalId/assign-kitchen","adminAuth","adminAssignTerminalKitchen","src\routes\admin\adminTools.routes.ts"
"GET","/branches/:branchId/settings","adminAuth","getBranchSettings","src\routes\admin\adminTools.routes.ts"
"POST","/branches/:branchId/settings","adminAuth","updateBranchSettings","src\routes\admin\adminTools.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\category.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\category.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\category.routes.ts"
