method,path,middlewares,handler,file,visibility
"PUT","/free-delivery","","setFreeDelivery","src\api\branches\delivery\delivery.routes.js","internal"
"PUT","/enabled","","toggleDelivery","src\api\branches\delivery\delivery.routes.js","internal"
"POST","/categories","","createCategory","src\api\branches\menu\menu.routes.js","internal"
"PUT","/categories/:categoryId","","updateCategory","src\api\branches\menu\menu.routes.js","internal"
"DELETE","/categories/:categoryId","","deleteCategory","src\api\branches\menu\menu.routes.js","internal"
"POST","/items","","createMenuItem","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId","","updateMenuItem","src\api\branches\menu\menu.routes.js","internal"
"DELETE","/items/:itemId","","deleteMenuItem","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId/price","","updatePrice","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId/availability","","updateAvailability","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId/description","","updateDescription","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId/image","","updateImage","src\api\branches\menu\menu.routes.js","internal"
"POST","/items/:itemId/extras","","addExtra","src\api\branches\menu\menu.routes.js","internal"
"PUT","/items/:itemId/extras/:extraId","","updateExtra","src\api\branches\menu\menu.routes.js","internal"
"DELETE","/items/:itemId/extras/:extraId","","deleteExtra","src\api\branches\menu\menu.routes.js","internal"
"POST","/items/:itemId/notes","","addNote","src\api\branches\menu\menu.routes.js","internal"
"DELETE","/items/:itemId/notes/:noteId","","deleteNote","src\api\branches\menu\menu.routes.js","internal"
"POST","/add","","addCartItem","src\api\cart\cart.routes.js","internal"
"GET","/:orderId","","getCart","src\api\cart\cart.routes.js","internal"
"DELETE","/:cartItemId","","removeCartItem","src\api\cart\cart.routes.js","internal"
"POST","/validate","","validateCheckout","src\api\checkout\checkout.routes.js","internal"
"GET","/","customerAuthMiddleware","getAddresses","src\api\customerAddresses\customerAddresses.routes.js","public"
"POST","/","customerAuthMiddleware","createAddress","src\api\customerAddresses\customerAddresses.routes.js","public"
"PATCH","/:addressId","customerAuthMiddleware","updateAddress","src\api\customerAddresses\customerAddresses.routes.js","public"
"DELETE","/:addressId","customerAuthMiddleware","deleteAddress","src\api\customerAddresses\customerAddresses.routes.js","public"
"POST","/request-otp","","requestOtp","src\api\customerAuth\customerAuth.routes.js","public"
"POST","/verify-otp","","verifyCustomerOtp","src\api\customerAuth\customerAuth.routes.js","public"
"POST","/refresh","","inline","src\api\customerAuth\refresh.routes.js","public"
"GET","/","customerAuthMiddleware","getCustomerOrders","src\api\customerOrders\customerOrders.routes.js","public"
"GET","/:orderId","customerAuthMiddleware","getCustomerOrder","src\api\customerOrders\customerOrders.routes.js","public"
"GET","/","customerAuthMiddleware","getCustomerProfile","src\api\customerProfile\customerProfile.routes.js","public"
"PATCH","/","customerAuthMiddleware","updateCustomerProfile","src\api\customerProfile\customerProfile.routes.js","public"
"POST","/select-branch","","selectBranch","src\api\delivery\branchSelection.routes.js","internal"
"GET","/:branchId","","getDeliverySettings","src\api\deliverySettings\deliverySettings.routes.js","internal"
"PATCH","/:branchId","","updateDeliverySettings","src\api\deliverySettings\deliverySettings.routes.js","internal"
"POST","/:orderId","","triggerAutoDispatch","src\api\dispatch\autoDispatch.routes.js","internal"
"GET","/order","","driverAccessOrder","src\api\driverAccess\driverAccess.routes.js","driver"
"POST","/register","","driverRegister","src\api\driverAccess\driverAuth.routes.js","driver"
"POST","/login","","driverLogin","src\api\driverAccess\driverAuth.routes.js","driver"
"GET","/:driverId","","getAvailability","src\api\driverAccess\driverAvailability.routes.js","driver"
"POST","/:driverId","","setAvailability","src\api\driverAccess\driverAvailability.routes.js","driver"
